sha256,label,parse_ok,file_size,page_count,metadata_field_count,suspicious_keyword_total,is_encrypted,javascript_count,has_javascript,js_count,has_js,openaction_count,has_openaction,aa_count,has_aa,launch_count,has_launch,uri_count,has_uri,embeddedfile_count,has_embeddedfile,encrypt_count,has_encrypt,objstm_count,has_objstm,richmedia_count,has_richmedia,acroform_count,has_acroform,action_keyword_total,embedded_or_script_total,stream_like_keyword_total,high_risk_keyword_total,keyword_density_per_page
1c50466f9a1bdbaf37e95ffda07b04b4efe4a30fb715a8fc90aa73aa1b5c230a,benign,1,25694,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7797b63e4c3a876e536e65d0ccea69328992f850721c9369e4c865501ffb2049,benign,1,25560,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
e45c1b0268a562fa68e0fc4d8ff42b469e36fe100d896c4660785f5e72bf944c,benign,1,82952,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
b36ebda4e7fe4b3fb8514eda89f8d12f1e151209d873e67d68c59dbee1cf9f11,benign,1,111108,5,8,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.4
cfd9369e2955860e9132ed4682d799075035baeb1e24b3a5e971886e269e4615,benign,1,16021,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ad4896aaf0f631836c12e1467bc5be77d4623a9989ad3ddb8ce1f217855fbb85,benign,1,46225,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
e45e8b376177a76341c055455e0b71dfd5ae914124c07078d0c559e20990997d,benign,1,11001,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87db4773a80815c4e26c6547b2ff869fdb0b0827bde7b7e8f89ea11584f4f53b,benign,1,11191,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80b8ca40853ec858d469b4176713cdc7e5c97a412fecb66506666970cc9f0d0b,benign,1,10992,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
db7cc4c2e34d0ecf6457ba97de8fa4e009f500ca00056a09de03a763d6c6b927,benign,1,111194,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4b3be453c5b193f4c894ab1bc6b3721b1a34bdd6d3d7a92a5b45d25f50bc2566,benign,1,196492,10,6,26,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2.6
adb86b6c7c8aab8ba3fe9ac01bd6cde59c44f6a98ab82af807dc528f4798863d,benign,1,32820,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
f7f2338e58aa13d70d03b28b8cdf7296fbc5c4ebcaf04bd3a41fa2b1f9ac0e33,benign,1,18683,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
c2d5ce2ef0892755b31d23d361b3ce6f4cd86681bceec09df8907e1de9cea5fb,benign,1,19901,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
